Country Code,Year,GDP
ABW,1960,
ABW,1961,
ABW,1962,
ABW,1963,
ABW,1964,
ABW,1965,
ABW,1966,
ABW,1967,
ABW,1968,
ABW,1969,
ABW,1970,
ABW,1971,
ABW,1972,
ABW,1973,
ABW,1974,
ABW,1975,
ABW,1976,
ABW,1977,
ABW,1978,
ABW,1979,
ABW,1980,
ABW,1981,
ABW,1982,
ABW,1983,
ABW,1984,
ABW,1985,
ABW,1986,1040067813.9812746
ABW,1987,1207294403.7118554
ABW,1988,1432438495.4513192
ABW,1989,1606191000.8575172
ABW,1990,1669818678.849896
ABW,1991,1802784198.4091408
ABW,1992,1908830345.9758677
ABW,1993,2048321812.2332513
ABW,1994,2216364111.8743324
ABW,1995,2272818090.4319134
ABW,1996,2299768906.2320614
ABW,1997,2461830746.1686006
ABW,1998,2510870031.7945056
ABW,1999,2541955653.388158
ABW,2000,2735726915.786389
ABW,2001,2850135060.009999
ABW,2002,2823202609.542747
ABW,2003,2854554404.373309
ABW,2004,3062757840.265965
ABW,2005,3051023261.1758194
ABW,2006,3085420847.1951685
ABW,2007,3180746293.728706
ABW,2008,3239137008.3212833
ABW,2009,2860878965.889483
ABW,2010,2782678075.47099
ABW,2011,2876433099.90676
ABW,2012,2846495187.5290413
ABW,2013,3029567030.3440266
ABW,2014,2981500673.046322
ABW,2015,2962907262.5698323
ABW,2016,3013858155.988089
ABW,2017,3226290954.320648
ABW,2018,3303627899.7543783
ABW,2019,3229876376.131907
ABW,2020,2383266968.911624
ABW,2021,2958411905.4410534
ABW,2022,3210407008.760283
ABW,2023,3347289755.6782103
AFE,1960,152485617553.13773
AFE,1961,153200373067.67813
AFE,1962,165256796211.96323
AFE,1963,174548150858.6952
AFE,1964,182735258702.4588
AFE,1965,192163619061.49698
AFE,1966,201431197961.95715
AFE,1967,212255106481.59485
AFE,1968,221071567551.1543
AFE,1969,232325726259.067
AFE,1970,234955164758.34332
AFE,1971,247827477641.0047
AFE,1972,254692412917.0016
AFE,1973,266425646847.98755
AFE,1974,281013990851.48804
AFE,1975,284961954672.18536
AFE,1976,291751533262.4315
AFE,1977,295025569382.45996
AFE,1978,299478583874.61237
AFE,1979,308254680203.2042
AFE,1980,325093656159.58923
AFE,1981,338138126611.3239
AFE,1982,339206073756.3394
AFE,1983,339341575851.5274
AFE,1984,350765125282.17883
AFE,1985,350313175504.1402
AFE,1986,358250723761.1771
AFE,1987,372417567195.41205
AFE,1988,388331546640.28577
AFE,1989,398795376837.83185
AFE,1990,399493845643.4863
AFE,1991,399103504456.7856
AFE,1992,389737439405.3402
AFE,1993,387402501872.87573
AFE,1994,394875369504.14386
AFE,1995,411789546698.154
AFE,1996,434240273307.56287
AFE,1997,450925028921.90607
AFE,1998,458826475384.17664
AFE,1999,470985014904.5236
AFE,2000,486126929267.78876
AFE,2001,503169209698.7082
AFE,2002,522471173018.1183
AFE,2003,537916681418.98083
AFE,2004,567800087822.4877
AFE,2005,602795765120.0704
AFE,2006,642446909327.1705
AFE,2007,685150490273.6571
AFE,2008,715079142760.1793
AFE,2009,721307367420.6971
AFE,2010,759043541900.5911
AFE,2011,789898216824.1349
AFE,2012,803696721168.008
AFE,2013,838588875517.9231
AFE,2014,872072576697.475
AFE,2015,898277807343.0052
AFE,2016,917992857347.0004
AFE,2017,942636770833.1063
AFE,2018,967773422990.4401
AFE,2019,989009454513.1793
AFE,2020,960681330778.4427
AFE,2021,1004645882051.5347
AFE,2022,1040349774688.0433
AFE,2023,1064487323079.3291
AFG,1960,
AFG,1961,
AFG,1962,
AFG,1963,
AFG,1964,
AFG,1965,
AFG,1966,
AFG,1967,
AFG,1968,
AFG,1969,
AFG,1970,
AFG,1971,
AFG,1972,
AFG,1973,
AFG,1974,
AFG,1975,
AFG,1976,
AFG,1977,
AFG,1978,
AFG,1979,
AFG,1980,
AFG,1981,
AFG,1982,
AFG,1983,
AFG,1984,
AFG,1985,
AFG,1986,
AFG,1987,
AFG,1988,
AFG,1989,
AFG,1990,
AFG,1991,
AFG,1992,
AFG,1993,
AFG,1994,
AFG,1995,
AFG,1996,
AFG,1997,
AFG,1998,
AFG,1999,
AFG,2000,6206547590.074026
AFG,2001,5621147630.730684
AFG,2002,7228795918.925245
AFG,2003,7867263256.28817
AFG,2004,7978515641.583037
AFG,2005,8874480195.583212
AFG,2006,9349921885.778883
AFG,2007,10642671963.11354
AFG,2008,11060395115.680857
AFG,2009,13426272073.23976
AFG,2010,15354612541.505938
AFG,2011,15420077665.532303
AFG,2012,17386490239.353626
AFG,2013,18360263162.757835
AFG,2014,18860496494.04041
AFG,2015,19134221644.732494
AFG,2016,19566715174.163273
AFG,2017,20084646751.495384
AFG,2018,20323499020.363865
AFG,2019,21118473702.347073
AFG,2020,20621957125.207726
AFG,2021,16345202562.548473
AFG,2022,15325233810.138836
AFG,2023,15740683549.231207
AFW,1960,108420494332.22975
AFW,1961,110451268805.5398
AFW,1962,114552077816.47028
AFW,1963,122698984823.42996
AFW,1964,129341837842.3936
AFW,1965,134671827156.60309
AFW,1966,132627905912.63124
AFW,1967,120633542533.63101
AFW,1968,122523994426.41508
AFW,1969,141172337309.55344
AFW,1970,165889468470.78842
AFW,1971,183375206024.32553
AFW,1972,189175139636.0904
AFW,1973,196770764295.15707
AFW,1974,216487528972.01794
