Country,Best Alpha,Population_Coeff,Inflation_Coeff,Import_Coeff,Export_Coeff,Score,Export_GDP_Correlation
BDI,0.01,0.001293092738850036,-0.00038771505122902434,0.0004488003751304759,-2.1838573902411028e-07,0.8624190078876832,0.6644385813093531
BFA,0.01,0.019001887550198736,-0.002105255237425969,0.0015395766885718117,0.0018031676536279656,0.9745531272672658,0.9514620507410276
BGD,0.01,0.07591310823395483,-0.030418303895729533,0.033052467078518624,0.017734683569822537,0.9835291336403272,0.9828245154085421
BHR,0.01,0.0069917163498054375,-0.02081941276476026,0.006353506646586489,0.007328567715017395,0.9078600728375329,0.9267097749364642
BHS,0.01,0.00029054637640422076,-0.0037139873085449923,0.001492666189804577,-0.001048423056442008,0.7582233802869668,-0.676030624999671
BLZ,0.01,2.030921807559965e-05,-0.0007226885092527692,0.000656580505709188,-2.9373641339500756e-06,0.9514700724665556,0.9045175625279888
BOL,0.01,0.028381535855873496,-5.290541001887501e-05,0.011163003478362379,-0.008185941565304024,0.947047202449171,0.9084615654185887
BRA,0.01,0.7331339204458497,-0.0024016109107795392,0.09312957869045238,0.16121978328386263,0.9901275783730962,0.9675157605340544
BRB,0.01,-2.0924386484917917e-07,-0.0003629501690348564,0.0008398039487787057,-0.0007065142233411325,0.9299706277454387,0.734914474602341
BRN,0.01,0.0001717335894032795,-0.0013333516233509928,-3.496967070073542e-05,0.0012595448443800275,0.6454724476193194,0.8006496694084271
BTN,0.01,8.024659519732936e-05,-0.001570174272545321,0.0006010771882166884,0.00018802417313020702,0.9539190291978825,0.9365622092949419
BWA,0.01,0.005377246713577963,-0.010660694654394197,0.0014078498897989549,0.006589966634819824,0.8770799197644619,0.9265090120638098
CAF,0.01,0.0010822521805564853,-0.0005086197373407031,9.233721887967e-05,0.00037979963110689493,0.5784445435439789,0.6275559400711597
CHL,0.01,0.2577545199039931,-0.27145364587014825,0.031461831240695015,0.03419641449416908,0.9568478137895472,0.9535811809691458
CHN,0.01,0.748791046852104,0.22644587368638605,-1.0422799667983675,11.256921828336843,0.9716835507156075,0.9823825862315975
CIV,0.01,0.08197656922402012,-0.012128344590890688,0.009259233559075961,-0.012536752349006577,0.8578289590993201,0.8524117216635402
CMR,0.01,0.06455234633600312,-0.011120557514754437,0.007210599373565247,-0.01169554050276935,0.9285733502474854,0.7587677098412542
COD,0.01,-0.027915414270890802,-2.3267881962999418e-05,-0.0033773602191423595,0.03874264154171884,0.861897916408478,0.6942086904726241
COL,0.01,0.38045306961197817,-0.04536440274324784,0.07630865976613703,-0.07407189194465125,0.9836280421481362,0.8856244555252062
CPV,0.01,5.77969272879441e-05,-0.001779359788384706,0.00035586954685988727,0.00026301250173088863,0.940548130291702,0.890749107450125
CRI,0.01,0.00625191686251545,-0.011789818180330747,0.008502740337953538,0.012824660718887262,0.9662983603229497,0.9771364116075755
DMA,0.01,-7.751656327155537e-08,-0.00019332048399395746,0.00010233233457009115,2.5905042032860885e-05,0.9111200399604585,-0.28679901383586764
DOM,0.01,0.023240814959028185,-0.0010827576024843135,0.01436884627082754,0.02246825811943857,0.962072753119613,0.9226116692786457
